cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
8,-29,2,0.007480,0.000174,0.000001,accepted,accepted,0.071508,0.328077,0.150000,8689,False,15.186641,18.332304,1.044948,15.234752,18.335798,1.068106,-0.899124,-0.065333,-0.432790
8,-28,2,0.007480,0.000174,0.000001,accepted,accepted,0.053821,0.349509,0.150000,5127,False,15.186641,18.332304,1.086025,15.219088,18.334822,1.100993,-0.905801,-0.070259,-0.417838
8,-27,2,0.007480,0.000174,0.000001,accepted,accepted,0.036657,0.355713,0.150000,5127,False,15.186641,18.332304,1.127102,15.203541,18.333614,1.134898,-0.905801,-0.070259,-0.417838
8,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.013046,0.361614,0.150000,5127,False,15.193759,18.332304,1.168180,15.189272,18.331957,1.166110,-0.905801,-0.070259,-0.417838
8,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.021281,0.375058,0.150000,5127,False,15.193759,18.332304,1.250334,15.158178,18.329544,1.233921,-0.905801,-0.070259,-0.417838
8,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.038445,0.382128,0.150000,5127,False,15.193759,18.332304,1.291411,15.142632,18.328339,1.267827,-0.905801,-0.070259,-0.417838
8,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.055609,0.389444,0.150000,5127,False,15.193759,18.332304,1.332489,15.127085,18.327131,1.301732,-0.905801,-0.070259,-0.417838
8,-21,1,0.003740,0.000174,0.000001,accepted,accepted,0.072772,0.397018,0.150000,5127,False,15.193759,18.332304,1.373566,15.111538,18.325926,1.335638,-0.905801,-0.070259,-0.417838
8,-16,1,0.003740,0.000174,0.000001,accepted,accepted,0.158590,0.439193,0.150000,5127,False,15.193759,18.332304,1.578952,15.033804,18.319897,1.505166,-0.905801,-0.070259,-0.417838
8,-15,1,0.003740,0.000174,0.000001,accepted,accepted,0.175754,0.448585,0.150000,5127,False,15.193759,18.332304,1.620029,15.018257,18.318691,1.539072,-0.905801,-0.070259,-0.417838
